"","artistName","freq"
"1","Taylor Swift",1386
"2","Alessia Cara",693
"3","Maisie Peters",648
"4","Jake Scott",630
"5","JP Saxe",591
"6","Pentatonix",452
"7","Sara Bareilles",398
"8","Twenty One Pilots",389
"9","Shawn Mendes",356
"10","CAIN",307
"11","Halsey",250
"12","5 Seconds of Summer",226
"13","Camila Cabello",207
"14","AJR",206
"15","Morgan Wallen",204
"16","Lorde",194
"17","Olivia Rodrigo",193
"18","Dua Lipa",191
"19","Alec Benjamin",176
"20","Anthem Lights",162
"21","Ashe",162
"22","Sasha Alex Sloan",141
"23","Julia Michaels",136
"24","Bethel Music",133
"25","Demi Lovato",129
"26","Brett Eldredge",118
"27","Riley Clemmons",118
"28","Ellie Holcomb",117
"29","Lennon Stella",114
"30","Maverick City Music",114
"31","I AM THEY",110
"32","NEEDTOBREATHE",110
"33","Niall Horan",109
"34","Marielle Kraft",105
"35","Ryan Hurd",104
"36","John K",96
"37","Justin Bieber",95
"38","Brett Young",94
"39","Brynn Cartelli",94
"40","Jordan Davis",88
"41","Ed Sheeran",87
"42","Ludovico Einaudi",84
"43","Conan Gray",83
"44","Kacey Musgraves",83
"45","Hollyn",81
"46","Kelsea Ballerini",81
"47","Cate",80
"48","Tenille Townes",80
"49","Kane Brown",76
"50","Capital Lights",75
"51","Walker Hayes",75
"52","Bastille",69
"53","Tate McRae",69
"54","Why Don't We",69
"55","Ellie Goulding",68
"56","Maren Morris",65
"57","BLÜ EYES",63
"58","Ben Rector",59
"59","Michael Bublé",58
"60","Rachel Platten",58
"61","RaeLynn",58
"62","Thomas Rhett",57
"63","Bazzi",55
"64","Avenue Beat",54
"65","Carrie Underwood",54
"66","Hillsong Worship",54
"67","Billie Eilish",53
"68","Cimorelli",53
"69","Chris Lane",52
"70","Hannah Kerr",51
"71","LunchMoney Lewis",49
"72","Fifth Harmony",48
"73","Levi Hummon",48
"74","Kelly Clarkson",47
"75","Astrid S",46
"76","Hillsong UNITED",46
"77","Lauren Alaina",44
"78","Meghan Trainor",42
"79","Forest Blakk",41
"80","Machine Gun Kelly",41
"81","Relient K",41
"82","Tori Kelly",41
"83","Voices Of Lee",41
"84","blackbear",40
"85","Kodaline",40
"86","Lauren Daigle",40
"87","salem ilese",40
"88","Dan + Shay",39
"89","Alex & Sierra",38
"90","Bing Crosby",38
"91","Lee Brice",38
"92","Matt Maher",38
"93","Queen",38
"94","The Kid LAROI",38
"95","One Direction",37
"96","Taylor Bickett",37
"97","HARDY",36
"98","Maddie & Tae",36
"99","Jason Derulo",35
"100","John Mayer",35
"101","We Three",35
"102","The McClures",34
"103","Maddie Poppe",33
"104","We Are Messengers",33
"105","Avi Kaplan",32
"106","James TW",32
"107","Chris Renzema",31
"108","Hillsong Young & Free",31
"109","Mitchell Tenpenny",31
"110","Charlie Puth",30
"111","Stellar Kart",30
"112","Freya Ridings",29
"113","Mat Kearney",29
"114","Cam",28
"115","Runaway June",28
"116","BarlowGirl",27
"117","Jake Miller",27
"118","Mosaic MSC",27
"119","Faouzia",26
"120","Becky G",25
"121","Bruno Mars",25
"122","Vince Guaraldi Trio",25
"123","Shane & Shane",24
"124","Shea Salisbury",24
"125","The Sweeplings",24
"126","Cassadee Pope",23
"127","Cheat Codes",23
"128","Christina Perri",23
"129","Florida Georgia Line",23
"130","Gabby Barrett",23
"131","Haley Klinkhammer",23
"132","Bryan & Katie Torwalt",22
"133","Kari Jobe",22
"134","Little Mix",22
"135","Luke Combs",22
"136","Paramore",22
"137","Etham",21
"138","Jon Pardi",21
"139","Home Free",20
"140","Sarah Reeves",20
"141","The Red Jumpsuit Apparatus",20
"142","The Vamps",20
"143","Alan Walker",19
"144","Hailee Steinfeld",19
"145","High Valley",19
"146","Wilder Woods",19
"147","Gabrielle Aplin",18
"148","Ingrid Andress",18
"149","JJ Heller",18
"150","Johnnyswim",18
"151","Kansas",18
"152","Lauv",18
"153","Mckenna Grace",18
"154","Noah Cyrus",18
"155","Rixton",18
"156","Zac Brown Band",18
"157","All Sons & Daughters",17
"158","Anna Beck",17
"159","Daya",17
"160","Elias Dummer",17
"161","Influence Music",17
"162","Josie Dunne",17
"163","Matty Mullins",17
"164","Sam Hunt",17
"165","The Shires",17
"166","We The Kings",17
"167","ZAYN",17
"168","Ariana Grande",16
"169","Ella Henderson",16
"170","Fleetwood Mac",16
"171","FLETCHER",16
"172","for KING & COUNTRY",16
"173","Harry Styles",16
"174","James Arthur",16
"175","Lady A",16
"176","Ludwig van Beethoven",16
"177","Minnz Piano",16
"178","Newsboys",16
"179","Rebecca St. James",16
"180","Rend Collective",16
"181","Selena Gomez",16
"182","Tucker Beathard",16
"183","VERIDIA",16
"184","Adam Doleac",15
"185","Anna Clendening",15
"186","Bebe Rexha",15
"187","George Strait",15
"188","Michele McLaughlin",15
"189","Miley Cyrus",15
"190","Scotty McCreery",15
"191","Steffany Gretzinger",15
"192","Adele",14
"193","Brent Morgan",14
"194","Danielle Bradbery",14
"195","FRANKIE",14
"196","Van Halen",14
"197","Ava Max",13
"198","Bryan McCleery",13
"199","Clean Bandit",13
"200","Jana Kramer",13
"201","Jason Mraz",13
"202","Katelyn Tarver",13
"203","Manafest",13
"204","Perry Como",13
"205","The Sh*t in Our Heads ",13
"206","Tyler Rich",13
"207","Wrabel",13
"208","Brad Paisley",12
"209","Casting Crowns",12
"210","Gavin DeGraw",12
"211","George Ezra",12
"212","Josh Groban",12
"213","NF",12
"214","Passion",12
"215","Samestate",12
"216","The White Stripes",12
"217","Alan Jackson",11
"218","Alan Menken",11
"219","Aly & AJ",11
"220","Bea Miller",11
"221","Brigetta",11
"222","Burl Ives",11
"223","Colton Dixon",11
"224","Devin Dawson",11
"225","Diplo",11
"226","Dire Straits",11
"227","Dream",11
"228","Eric Church",11
"229","Grace VanderWaal",11
"230","Hunter Hayes",11
"231","Marshmello",11
"232","North Point Worship",11
"233","Owl City",11
"234","The Police",11
"235","Us The Duo",11
"236","Vance Joy",11
"237","Will Gittens",11
"238","Echosmith",10
"239","Ghost Ship",10
"240","Jon McLaughlin",10
"241","Kygo",10
"242","LANY",10
"243","Mariah Carey",10
"244","Maroon 5",10
"245","one sonic society",10
"246","Russell Dickerson",10
"247","Taylor Acorn",10
"248","The Beach Boys",10
"249","Thousand Foot Krutch",10
"250","Trevor Daniel",10
"251","Zedd",10
"252","Aloe Blacc",9
"253","Andy Grammer",9
"254","Avriel & the Sequoias",9
"255","Birdy",9
"256","Blake Shelton",9
"257","Blanca",9
"258","Blsng",9
"259","Carly Pearce",9
"260","Chris Tomlin",9
"261","Fall Out Boy",9
"262","Galantis",9
"263","Gone West",9
"264","Hawk Nelson",9
"265","Hudson Taylor",9
"266","Jake Owen",9
"267","Mokita",9
"268","Naomi Scott",9
"269","The Chainsmokers",9
"270","Tyler, The Creator",9
"271","Anson Seabra",8
"272","Ben Platt",8
"273","Britt Nicole",8
"274","Building 429",8
"275","Chris Young",8
"276","Cory Asbury",8
"277","Elevation Worship",8
"278","Emeli Sandé",8
"279","Frank Sinatra",8
"280","H.E.R.",8
"281","Imagine Dragons",8
"282","José Feliciano",8
"283","Nick Jonas",8
"284","Petra",8
"285","Ruth B.",8
"286","Sam Smith",8
"287","Tenth Avenue North",8
"288","Troye Sivan",8
"289","Wild Rivers",8
"290","Anne-Marie",7
"291","Bobby Helms",7
"292","Calvin Harris",7
"293","Capital Cities",7
"294","Cash Cash",7
"295","Chuck Berry",7
"296","Cody Fry",7
"297","Cody Simpson",7
"298","Cole Swindell",7
"299","Connie Talbot",7
"300","Dean Martin",7
"301","Dillon Carmichael",7
"302","Hailey Whitters",7
"303","Heather Sommer",7
"304","Jeremy Riddle",7
"305","Katy Perry",7
"306","Kimiko Glenn",7
"307","Lacey Sturm",7
"308","Luis Fonsi",7
"309","Matthew West",7
"310","Old Dominion",7
"311","On The Outside",7
"312","Quinn XCII",7
"313","Survivor",7
"314","Tasha Layton",7
"315","The Wanted",7
"316","Tim McGraw",7
"317","Timeflies",7
"318","Truslow",7
"319","Vertical Worship",7
"320","A Great Big World",6
"321","AC/DC",6
"322","Alex Kinsey",6
"323","All Time Low",6
"324","Andrew Ripp",6
"325","Big Daddy Weave",6
"326","Blake Rose",6
"327","Brooke Eden",6
"328","Clinton Kane",6
"329","Cody Carnes",6
"330","Disciple",6
"331","Guns N' Roses",6
"332","Jeremy Zucker",6
"333","Jon Bellion",6
"334","Jonas Brothers",6
"335","Joy Oladokun",6
"336","JP Cooper",6
"337","Keith Urban",6
"338","Lecrae",6
"339","Lizzy McAlpine",6
"340","Lynyrd Skynyrd",6
"341","MercyMe",6
"342","Milky Chance",6
"343","Pat Benatar",6
"344","Phil Wickham",6
"345","Rascal Flatts",6
"346","SafetySuit",6
"347","Sam Fischer",6
"348","Seaforth",6
"349","Sia",6
"350","Switchfoot",6
"351","Thurl Ravenscroft",6
"352","Alexander Cardinale",5
"353","American Authors",5
"354","BROODS",5
"355","Carly Rae Jepsen",5
"356","Chelsea Cutler",5
"357","Chris August",5
"358","Christina Aguilera",5
"359","David Dunn",5
"360","George Thorogood & The Destroyers",5
"361","Gracie Abrams",5
"362","House of Heroes",5
"363","Israel Kamakawiwo'ole",5
"364","Jacob Whitesides",5
"365","Jesus Culture",5
"366","Jim Carrey",5
"367","Jimmie Allen",5
"368","Joey + Rory",5
"369","Jordan Smith",5
"370","Journey",5
"371","Karmin",5
"372","Kings Kaleidoscope",5
"373","Lukas Graham",5
"374","MAX",5
"375","MKTO",5
"376","morgxn",5
"377","Nathan Sykes",5
"378","Niko Moon",5
"379","Nina Simone",5
"380","Noah Schnacky",5
"381","Olivia O'Brien",5
"382","OneRepublic",5
"383","Rhett Walker",5
"384","RPM (Relaxing Piano Music)",5
"385","Satellites & Sirens",5
"386","Sean Curran",5
"387","SEU Worship",5
"388","Tauren Wells",5
"389","The Band CAMINO",5
"390","The Beatles",5
"391","The Belonging Co",5
"392","The Weeknd",5
"393","Uncle Kracker",5
"394","Zach Hood",5
"395","Zara Larsson",5
"396","a-ha",4
"397","Andy Mineo",4
"398","Avery Wilson",4
"399","Band Aid",4
"400","BANNERS",4
"401","Boston",4
"402","Cale Dodds",4
"403","Caleb and Kelsey",4
"404","Calum Scott",4
"405","Capital Kings",4
"406","Caroline Jones",4
"407","Cavetown",4
"408","Danny Wright",4
"409","Dean Lewis",4
"410","Def Leppard",4
"411","Drew Holcomb",4
"412","Elle King",4
"413","Elvis Presley",4
"414","Eric Van Houten",4
"415","Filmore",4
"416","Francesca Battistelli",4
"417","G-Eazy",4
"418","GÉLICA",4
"419","Gene Autry",4
"420","Gloria Gaynor",4
"421","Henry Smith",4
"422","Holly Humberstone",4
"423","Ingrid Michaelson",4
"424","John Cullum",4
"425","John Denver",4
"426","Joshua Bassett",4
"427","Julie Andrews",4
"428","LANCO",4
"429","Lawrence",4
"430","Lindsey Stirling",4
"431","Local Sound",4
"432","LOCASH",4
"433","Louis Tomlinson",4
"434","Major Lazer",4
"435","Matt Stell",4
"436","Michelle Williams",4
"437","Miranda Lambert",4
"438","Mother Mother",4
"439","Naked Eyes",4
"440","NOTD",4
"441","Passenger",4
"442","Patrick Droney",4
"443","Ruel",4
"444","Sammy Kershaw",4
"445","Tenille Arts",4
"446","The Clash",4
"447","The Gray Havens",4
"448","The Knack",4
"449","The Piano Guys",4
"450","The Ronettes",4
"451","The Summer Set",4
"452","TobyMac",4
"453","Trent Harmon",4
"454","Vocal Rush",4
"455","We The Kingdom",4
"456","Zac Efron",4
"457","Zach Williams",4
"458","Amanda Lindsey Cook",3
"459","Audien",3
"460","Avicii",3
"461","benny blanco",3
"462","Bleachers",3
"463","BØRNS",3
"464","Brasstracks",3
"465","Charlie Brennan",3
"466","Citizen Way",3
"467","Clara Mae",3
"468","Coldplay",3
"469","Dylan Scott",3
"470","Elton John",3
"471","Emily James",3
"472","Eric Carmen",3
"473","Everfound",3
"474","Family Force 5",3
"475","FITZ",3
"476","Frédéric Chopin",3
"477","G.R.L.",3
"478","Hedley",3
"479","Idina Menzel",3
"480","Jamie Lawson",3
"481","Jeremy Jordan",3
"482","Jess Glynne",3
"483","Joe Darion",3
"484","Joe Nichols",3
"485","Johann Sebastian Bach",3
"486","John Legend",3
"487","John Travolta",3
"488","John Waller",3
"489","Jordan Fisher",3
"490","Jordy Searcy",3
"491","kirstin",3
"492","Kurt Hugo Schneider",3
"493","Lady Gaga",3
"494","Lainey Wilson",3
"495","Little Big Town",3
"496","Luke Hemmings",3
"497","Mabel",3
"498","MacKenzie Porter",3
"499","MAGIC!",3
"500","Martin Garrix",3
"501","Matt Hammitt",3
"502","Matthew Mole",3
"503","Meredith Andrews",3
"504","Meryl Streep",3
"505","Mike Mains & The Branches",3
"506","Noah Kahan",3
"507","Panic! At The Disco",3
"508","Parker McCollum",3
"509","Petey Martin",3
"510","PJ Harding",3
"511","PUBLIC",3
"512","Renée Zellweger",3
"513","Sabrina Carpenter",3
"514","Samuel E. Wright",3
"515","SHY Martin",3
"516","Sierra Boggess as Ariel",3
"517","Stian Jarrell",3
"518","Susan Egan",3
"519","The Afters",3
"520","The Boat Boys",3
"521","The Fray",3
"522","The Head And The Heart",3
"523","The Paper Kites",3
"524","Tim Hughes",3
"525","Traditional",3
"526","Adam Zampino",2
"527","AJ Mitchell",2
"528","Alesso",2
"529","Alexis Ffrench",2
"530","Andy Williams",2
"531","Anna Vaus",2
"532","Annelie",2
"533","Anthony Evans",2
"534","Audio Adrenaline",2
"535","Austyn Johnson",2
"536","Beckah Shae",2
"537","Beloved Melodies",2
"538","Beth McCarthy",2
"539","Big Red Machine",2
"540","Blake McGrath",2
"541","Bowling For Soup",2
"542","Boys Like Girls",2
"543","Brandon Heath",2
"544","Brandon Ratcliff",2
"545","Brave Holiday",2
"546","Brennen Henson",2
"547","Brittney Spencer",2
"548","BYRNE",2
"549","Caro Giek",2
"550","Chase Rice",2
"551","Christian French",2
"552","Cody Johnson",2
"553","COIN",2
"554","Colbie Caillat",2
"555","Darius Rucker",2
"556","David Guetta",2
"557","David Schultz",2
"558","Davide Locatelli",2
"559","Delilah",2
"560","DJ Snake",2
"561","DNCE",2
"562","Drake",2
"563","Dustin Lynch",2
"564","Field Guide",2
"565","Fireflight",2
"566","Flying Fingers",2
"567","Franz Liszt",2
"568","Gareth Emery",2
"569","Gatlin",2
"570","Gavin James",2
"571","Glades",2
"572","Glass Animals",2
"573","Group 1 Crew",2
"574","Gungor",2
"575","Heather Headley",2
"576","Hot Chelle Rae",2
"577","Ian Munsick",2
"578","ILLENIUM",2
"579","Jake Bugg",2
"580","James Harris",2
"581","James Smith",2
"582","Jamie Grace",2
"583","Jason Aldean",2
"584","Jason Gray",2
"585","Jay Joseph",2
"586","Jill Pitz",2
"587","Jimmy Needham",2
"588","Jodi Benson",2
"589","Joey Stamper",2
"590","John Bladh",2
"591","John Lennon",2
"592","Jon Batiste",2
"593","Jonathan Groff",2
"594","Jonathan Thulin",2
"595","Jonny Diaz",2
"596","Josh Baldwin",2
"597","Josh Kerr",2
"598","Joshua Howard",2
"599","Joshua Micah",2
"600","JUDAH.",2
"601","Judy Garland",2
"602","Juice WRLD",2
"603","Jules Amaro",2
"604","Kat & Alex",2
